Jack Higgins,2
Rachel Whiteread,1
Frederic Raphael,2
Karen Armstrong,1
Jeremy Irons,2
Shirley Williams,2
John Sutherland,1
Frankie Dettori,1
Richard Griffiths,1
Kelly Holmes,1
John Rutter,1
Maggi Hambling,1
David Hope,1
Colin Firth,1
Sir David Frost,3
Mary Midgley,1
Renee Fleming,1
Chris Evans,1
Boris Johnson MP,1
Mario Testino,1
Jacqueline Wilson,1
Michael Winner,1
Frank Gardner,1
Julian Clary,1
Brenda Blethyn,1
Ronald Searle,2
Paulo Coelho,1
Ruby Wax,1
Alexander McCall Smith,1
Betsy Blair,1
Nigel Slater,1
Satish Kumar,1
David King,1
Imelda Staunton,1
Josephine Cox,1
Katharine Whitehorn,2
Jarvis Cocker,1
Patrick Stewart,1
Philippe Petit,1
Lorin Maazel,2
Yvonne Brewster,1
Raymond Briggs,2
Stephen Poliakoff,1
Alison Richard,1
Geoffrey Palmer,1
David Starkey,1
Peter Maxwell Davies,2
Dr Jonathan Miller,2
Sam Taylor-Wood,1
Andy McNab,1
Carlos Acosta,1
Kim Cattrall,1
Engelbert Humperdinck,1
John Fortune,1
Sir Bobby Robson,2
Tracey Emin,1
Clive Stafford Smith,1
Matthew Bourne,1
Ann Leslie,1
Matthew Pinsent,1
Jack Mapanje,1
Rt Hon Sir Menzies Campbell MP,1
Anne Scott James,1
Desmond Morris,2
Virginia McKenna,2
Joe Simpson,1
Hugh Masekela,1
Rt Hon Michael Howard MP,1
Tim Rice,2
Diana Athill,1
Karan Bilimoria,1
Geraldine James,1
Sir Ken Adam,1
Pen Hadow,1
U A Fanthorpe,1
Graham Norton,1
Antonio Pappano,1
Bernard Cornwell,1
Michael Morpurgo,1
Angela Gheorghiu,1
Jack Vettriano,1
Ralph Kohn,1
Bill Nighy,1
Sir Gulam Noon,1
Judith Kerr,1
John Cale,1
Sacha Distel,2
Sister Frances Dominica,1
Rt Hon Lord Sainsbury,2
Paul Dacre,1
Stephen Frears,1
Jimmy Tarbuck,2
Martha Lane Fox,1
Paul O'Grady,1
Emmylou Harris,1
Nicholas Grimshaw,1
Pat Barker,1
Henry Blofeld,1
Sir Christopher Meyer,1
Jeremy Clarkson,1
Christopher Frayling,1
Rt Hon Charles Kennedy MP,1
Bill Cullen,1
Herbert Kretzmer,1
Nigella Lawson,1
