702,"",Construction Manual
703,"",The History Of The Derby
704,"",Teach Yourself Mathematics Illustrated By Voluptuous Women
705,Woody Allen,Stories
706,"",London A-z
707,"",Set Of Hansard
708,Geoffrey Chaucer,The Collected Works
709,William James,The Variety Of Religious Experiences
710,Charles Dickens,Christmas Carol
711,"",Homer - An Indian Paper Edition (to Translate)
712,Hermann Hesse,Demian
713,E.m Forster,A Passage To India
714,Richard Carlson,"Stop Thinking, Start Living"
715,Lawrence Goldman,Oxford Dictionary Of National Biography
716,James Gillray,Reproductions Of Works
717,Derek Jarman,Derek Jarman's Garden
718,Mahatma Gandhi,The Collected Writings
719,John Burnside,"Wild Reckoning, An Anthology Provoked Rachel Carson's Silent Spring By"
720,Richard Brautigan,Sombrero Fallout
721,"",A Compendium Of The World's Best Science Fiction
722,Clifford Ashley,Ashley's Book Of Knots
723,"",Book Of Short Stories
724,Blaise Pascal,Pensees
725,Epictetus,The Collected Works
726,J B Morton,Complete Works Of Beachcomber
727,Beachcomber,The Complete Works
728,Francis M Cornford,Microcosmographia Academica
729,"",Sanskrit Dictionary
730,Libbie Henrietta Hyman,The Invertebrates
731,John Livingstone Lowe,The Road To Xanadu
732,Charles Dickens,Any Book
733,Pedro Juan Gutierrez,Dirty Trilogy Of Havana
734,Engelbert Humperdinck,What's In A Name?
735,Giuseppe Di Lampedusa,The Leopard (in Italian English)
736,John Keegan,The Works Of Historian John Keegan: The First World War The Second World War Collected Into One Volume
737,"",The Koran (in Arabic And English)
738,Kenneth Williams,Diaries
739,"","World Atlas, Extended"
740,Robert Louis Stevenson,Treasure Island Kidnapped As One Volume
741,Richard Burton,Tales From Arabia: One Thousand And One Nights
742,Richard Burton,Translation Of The Arabian Nights
743,"",Blank Book And Pen
744,Charles Dickens,Nicholas Nickleby
745,Robert Caro,The Years Of Lyndon Johnson
746,Geoffrey Willans,Molesworth
747,Lewis Carroll,The Complete Works
748,"",Propylaen Kunstgeschichte - The History Of Art
749,Jane Austen,Mansfield Park
750,John Cowper Powys,A Glastonbury Romance
751,Helmut Newton,Sumo
752,Bach,The Complete Works
753,Ernest Hemingway,1st Edition Of 49 Stories
754,Alain Robbe-grilles,Repetition
755,Paulo Coelho,The Alchemist: A Fable About Following Your Dream
756,"",The New Oxford Book Of English Verse
757,Christopher Brickell,The Rhs A-z Encyclopaedia Of Garden Plants
758,Henry Longhurst,The Essential Henry Longhurst
759,Mary Norton,The Borrowers
760,Patrick O'brien,The Complete Works
761,P G Wodehouse,A Pelican At Blandings
762,John Buchan,"The Four Adventures Of Richard Hannay: The 39 Steps, Greenmantle, Mr Standfast, The Three Hostages"
763,Brendan Kennelly,Glimpses
764,Prof Paul Fussell,The Great War And Modern Memory
765,Charles Dickens,Barnaby Rudge
766,Frank Mccourt,Angela's Ashes
767,Giovanni Battista Piranesi,The Prisons (le Carceri): The Complete First And Second States
768,C S Lewis,The Complete Chronicles Of Narnia
769,Gerard Manley Hopkins,Major Works
770,Philippe Delerm,La Premiere Gorgee De Biere Et Autres Plaisirs Minuscules
771,Anton Chekhov,Short Stories
772,"",An English Translation Of The Koran
773,Wallace Earle Stegner,All The Little Live Things
774,Robert Allen,The Giant Book Of Mensa Puzzles
775,"",A Dictionary Of Flora And Fauna
776,"",A Chord Book Full Of Songs And Arias
777,"",Yoga Manual
778,John Burroughs,An Anthology Of Poems Which Include The Poem Waiting
779,W H Auden,Collection Of Poems
780,William Faulkner,The Sound And The Fury
781,Lawrence Durrell,The Alexandria Quartet
782,Robert Service,Anthology Of Poetry
783,"",The National Hunt Form Book
784,Wallace Stevens,Collected Poetry And Prose
785,Carl Barks,The Complete Carl Barks Library
786,C S Lewis,Out Of The Silent Planet
787,P G Wodehouse,One Of The 'blandings' Novels
788,James Joyce,Portrait Of The Artist As A Young Man
789,"",A Concise Book Of Italian Verbs
790,"",A Set Of Books On Roman Republican And Imperial Coinage
791,"",Grove's Dictionary Of Music And Musicians
792,Anthony Bourdain,Kitchen Confidential
793,Hans Golombek,Capablanca's Hundred Best Games Of Chess
794,Anton Chekhov,Collected Short Stories
795,Jacob Bronowski,Ascent Of Man
796,Alan Fletcher,The Art Of Looking Sideways
797,Elly Dekker,Globes At Greenwich
798,Patrick O'brien,The Aubrey And Maturin Series 20-volume Complete Hardcover Set
799,"",Doesn't Read Books - Needs Notepaper And Pens To Write Recipes
800,Delia Smith,Complete Cookery Course
801,Robert Caro,The Master Of The Senate - The Years Of Lyndon Johnson (3rd Volume)
802,Ludwig Wittgenstein,Philosophical Investigations
803,Joseph Heller,Catch 22
804,"",Canoe Craft
805,Samuel Pepys,The Diary Of Samuel Pepys
806,"",Original Prayer Book Without Any Amendments
807,Seamus Heaney,Lifelines
808,Adrian Bell,Corduroy (his Father's First Book)
809,Feynman,Quantum Electro Dynamics Physics
810,"",Oxford Anthology Of English Verse
811,Thomas Hardy,Under The Greenwood Tree
812,Charles Mingus,Beneath The Underdog
813,Thomas Harris,The Silence Of The Lambs
814,James Boswell,Life Of Johnson
815,Nicos Kazantsakis,Christ Re-crucified
816,A E Houseman,A Shropshire Lad
817,"",Huge Tome On Fauna And Flora
818,"",Modern Chess Openings
819,Dylan Thomas,Collected Poems 1934-52
820,D A Warrell,Oxford Textbook Of Medicine
821,"",Complete Oxford English Dictionary
822,"",Combined Dictionary And Thesaurus
823,Bhagwan Shree Rajneesh,Book Of Secrets
824,E B White,The Collected Works
825,Aldous Huxley,The Perennial Philosophy
826,Samuel Beckett,Plays And Novels
827,"",Book With Plain Pages
828,Stendhal,Charterhouse Of Palma
829,"",Encyclopaedia Of Natural Medicine
830,Gustave Flaubert,Letters
831,"",A Huge Copy Of The Times Atlas
832,Sir Douglas Bader,Reach For The Skies
833,Lady Longford,Vol 1 Of Biography Of The Duke Of Wellington - Year Of The Sword
834,Michael Frayne,The Fattest Book
835,Alain De Botton,Proust: Time Regained
836,"",A Giant Photo Album Of His Four Children And Grandchildren That Goes Back Over Twenty Years.
837,John Betjeman,Collection Of Poems
838,"",His Diary Which He Has Kept Since He Was 18 - To Relive Life Since 1945
839,George Orwell,Collected Essays
840,Barbara Tuckman,Distant Mirror
841,Enrico Caruso,My Method Of Singing
842,Willy Messerschmitt,Book About How To Build A Plane Out Of Palm Fronds And Coconut Fibre
843,Flavius Josephus,The Complete Works
844,Wallace Stevens,The Collected Works
845,Dr Samuel Johnson,The Lives Of The Poets
846,Anthony Trollope,The Warden
847,"",Book On Zoology
848,"",A Book On Celestial Navigation
849,James Baldwin,Notes Of A Native Son
850,Shelby Foote,History Of The American Civil War
851,Frances A Yates,The Art Of Memory
852,Sigmund Freud,Interpretation Of Dreams
853,Michael Crichton,Any Book
854,Hugh Kingsmill,The High Hill Of The Muses - Anthology
855,Hugh Kingsmill,The High Hill Of The Muses
856,Henry James,Portrait Of A Lady
857,"",Field Guide To His Imaginary Island
858,Simon Jenkins,England's Thousand Best Churches
859,"",The Oxford Rhyming Dictionary
860,John Seymour,The Complete Book Of Self-sufficiency
861,John Seymour,Self Sufficiency
862,John Hadfield,A Book Of Beauty
863,Laurence Sterne,Tristram Shandy
864,Elizabeth David,French Provincial Cookery
865,Patrick O'brien,Master And Commander
866,"",Anthology Of Verse
867,Jorge Luis Borges,Complete Works
868,Norman Lindsay,The Magic Pudding
869,Frank Dalby Davison,Dusty
870,Thomas Hardy,Complete Works
871,E E Cummings,Complete Book Of Poetry
872,R S Timmis,Horse Management
873,"",The Book Of Lempster (old Irish Textbook Currently In The Hague)
874,Richard Gregory,Companions To The Mind
875,Mort Rosenslum,Olives: The Life And Love Of A Noble Fruit
876,John O'donohue,Eternal Echoes
877,Charles Dickens,A Tale Of Two Cities
878,S J Perelman,Crazy Like A Fox
879,Francis Palgrave,Golden Treasury Of English Songs And Lyrics
880,Jose Bergua,An Anthology Of Poetry - 'las Mil Mejores Poesia' Dela Lengua Castellana
881,Frederico Garcia Lorca,Collected Poetry
882,William Shakespeare,"Translation In Either German, Italian Or Czech"
883,"",Bible In German
884,"",Foreign Translation Of A Long English Novel
885,"",Guinness Book Of Pop
886,Bill Bryson,The Lost Continent
887,Beatrix Potter,Collection
888,"",Volume On Elementary Calculus
889,Raoul C Faure,The Spear In The Sand
890,Lewis Carroll,The Adventures Of Alice
891,George Lampton,Men And Horses I Have Known
892,Charles Lindbergh,The Spirit Of St Louis
893,John Buchan,The Thirty-nine Steps
894,"",Encyclopaedia Britannica On Cd-rom
895,"",Beautifully Bound Blank Book
896,"","Blank, Lined Book"
897,Richard Bach,Jonathan Livingstone Seagull
898,"",(the New) La Rousse Encyclopaedia Of Mythology
899,J Meade Falkner,Moonfleet
900,Sir Michael Howard,The Franco Prussian War - The German Invasion Of France 1870-1871
901,James Joyce,Finnegan's Wake
902,Steve Johnson,Everton - The Complete Record
903,"","History Of Viticulture, With Instructions On How To Make Wine"
904,Roger Scruton,The Aesthetics Of Music
905,"",Book On Astronomy
906,Ernst Bloch,Principle Of Hope
907,William Blake,The Collected Works
908,"",Blank Sheets To Write His Thoughts On Imagination And Memory
909,Joseph Needham,Science And Civilisation In China
910,William Wordsworth,Prelude - Penguin Edition
911,Douglas Hofstadter,"Godel, Escher, Bach"
912,Isaac Walton,The Complete Angler
913,Geoffrey Grigson,Anthology: The English Year
914,A E Houseman,The Collected Works
915,"",Flora And Fauna Of A Tropical Desert Island
916,"",Times Atlas Of World History
917,"",Collection Of Landscape Pictures (with Book)
918,Sean O'casey,The Collected Works
919,Bach,Collected Piano Works
920,Edith Sitwell,The Atlantic Book
921,Andrea Palladio,Four Books Of Architecture
922,Aldous Huxley,Ends And Means
923,Monty Python,The Complete Monty Python Television Scripts
924,Ripley,Ripley's Believe It Or Not
925,Percy Shelley,Poetical Works Of Shelley
926,Dante Alighieri,English Translations And Original Italian Works
927,Gary Larson,Collective Cartoons
928,Frank J Tipler,The Physics Of Immortality
929,Mirza Ghalib,Complete Works
930,Lawrence Norfolk,Lempieres' Dictionary
931,P C Wren,Beau Jeste
932,Athol Fugard,Unpublished Notes
933,Emile Massal,Edible Plants Of The South Seas
934,Jean Renoir,The Notebooks Of Captain Georges
935,Tammy Wynette,Stand Your Man By
936,Vincent Price,Vincent Price's Cookery Book
937,"",Macmillan Dictionary Of Art
938,Omar Khayyam,The Collected Works
939,Omar Khayyam,The Rubaiyat
940,Walter Scott,Ivanhoe
941,"",Encyclopaedia Of How To Survive
942,Mark Twain,Adventures Of Tom Sawyer
943,David Hume,Enquiry Concerning Human Understanding And The Principles Of Morals
944,"",His Wedding Photo Album
945,Salman Rushdie,The Moor's Last Sigh
946,Daniel Boorstin,The Discoverers
947,H G Wells,History Of The World
948,"",Volume Of Reproductions Of Paintings
949,Michel De Montaigne,Essays
950,"",A Self-learn Italian Book (slowly)
951,Wisden,Wisden Almanack For Cricketers
952,Bernard Cornwell,Sharpe's Eagle
953,Sir Ernst Gombrich,The Story Of Art
954,Brian Groombridge,Global Biodiversity
955,"",500 Year Ahead Calendar And Appointment Book
956,"",A Book On How To Build A Boat
957,"",Manual On Practical Engineering
958,"",The New York Phone Book
959,Barbara Ann Kipfer,"14,000 Things To Be Happy About"
960,William Shakespeare,Hamlet (1897 Edition)
961,Pierre Teilhard De Chardin,The Phenomenon Of Man
962,Marcel Proust,Complete Works
963,G A Henty,Through Russian Snows
964,Hoffman,Tales
965,Sir Peter Meddower,Pluto's Republic
966,"",A Book With Pictures (of Pretty Women)
967,Peter Ouspensky,In Search Of The Miraculous
968,"",Times Atlas Of The World
969,"",How To Swim
970,"",R.c.t.s. History Of Great Western Railway Engines
971,William Langland,Piers Plowman (in Middle English)
972,Herge,King Ottokar's Sceptre (the Adventures Of Tin Tin)
973,Marcel Proust,Du Cote De Chez Swann
974,"",A Guide To The Universe (astronomy)
975,Pablo Neruda,Canto General
976,T H White,The Sword In The Stone
977,Hewlett Johnson,The Socialist Sixth Of The World
978,Dr Samuel Johnson,Dr. Johnson's Lexicographic Works
979,P G Wodehouse,The Jeeves Omnibus
980,Charles Dickens,(instead Of Shakespeare) Collected Works
981,Bertrand Russell,A History Of Western Philosophy
982,"",The Complete Boatbuilder's Book
983,Eugene Delacroix,Journal De Eugene Delacroix
984,Thomas Mann,Joseph And His Brothers
985,Branch Taylor,Parting The Waters
986,"",Apophthegmata Patrum (early Writing Of Egyptian Fathers)
987,Martin Gilbert,Biography Of Churchill
988,John Steinbeck,The Grapes Of Wrath
989,"",Encyclopaedia Of The Libretti Of All The Well-known Operas
990,Franz Schubert,Songs From The 1880s With Piano Accompaniment
991,Constance Spry,The Cookery Book
992,Rudyard Kipling,Book Of Verse
993,"",A Chess Strategy Book (in Brail)
994,"",Times Atlas Of The Night Sky
995,Mervyn Peake,Gormenghast
996,"",The Oxford Book Of Quotations
997,"","The Oxford Book Of Verse, Especially 'apologia' (newman)"
998,Lord David Cecil,The Life Of Lord Melbourne
999,P G Wodehouse,Omnibus Of Golfing Stories
1000,"",A Latin Primer
1001,"",Dictionary Of Musical Themes
1002,"",A Book About Warfare
1003,Gary Larson,Prehistory Of The Far Side
1004,Ernest Hemingway,Essential Hemingway
1005,"",Eagle Annual
1006,"",The Oxford Anthology Of Modern Poetry
1007,Rudi Blesh,Buster Keaton Biography
1008,Samuel Taylor Coleridge,The Collected Works
1009,Primo Levi,If This Be A Man
1010,Karl Jung,"Memories, Dreams And Reflections"
1011,Rinpoche,Tibetan Book Of Living And Dying
1012,P G Wodehouse,Mr Mulliner's Memoirs
1013,Patrick Moore,An Astronomy Book
1014,John Betjeman,Collected Poems
1015,Marion Zimmer Bradley,The Myths Of Avalon
1016,Anton Chekhov,Michael Frayn Translation Of Complete Plays
1017,Paul Kennedy,Rise And Fall Of The Great Powers
1018,"",Beano Annual 1974
1019,Gilbert White,The Natural History Of Selborne
1020,Hector Berlioz,Memoirs
1021,Evelyn Waugh,Vile Bodies
1022,"",Life Of John F Kennedy
1023,"",Complete Cambridge Histories
1024,D.h. Lawrence,Sons And Lovers
1025,J R R Tolkien,The Hobbit
1026,"",Welsh-english Dictionary
1027,Johann Wolfgang Goethe,Goethe's Poems
1028,Aleksandr Pushkin,"Works, Prose And Verse"
1029,Anthony Powell,Valley Of Bones
1030,James Thurber,Selected Works
1031,"","Anthology Of Russian, American English Stories"
1032,Raymond Chandler,Lady In The Lake
1033,Anthony Trollope,The Small House At Allington
1034,"",A Gardening Book
1035,Gorden Kaye,This Is Your Life
1036,"",Bound Volumes Of The Engineer Magazine
1037,Francis Palgrave,The Golden Treasury
1038,"",1515-1985 British Music Theatre Book
1039,William Blake,Songs Of Innocence And Experience
1040,"",Dictonary Of English Quotations
1041,Jonathan Swift,Gulliver's Travels
1042,Iqbal,Bang-e Dara
1043,Andre Malraux,The Voices Of Silence
1044,Thomas Mann,Dr. Faustus
1045,Anthony Trollope,They Way We Live Now
1046,Robert Burns,The Collected Works
1047,James Stephens,The Crock Of Gold
1048,Fernand Point,Ma Gastronomie
1049,"",Anthology Of Poems
1050,Marcel Proust,A Title In French
1051,C S Lewis,Sagittarius Surviving
1052,"",Book Of Modern Poetry
1053,J B Priestley,Collected Plays
1054,Sir Arthur Conan Doyle,Complete Sherlock Holmes Short Stories
1055,Paul Scott,Raj Quartet
1056,Judi Dench,A Talking Book
1057,"",A Book Of Greek Poetry
1058,Richard Rorty,"Contingency, Irony Solidarity"
1059,Donal O'sullivan,The Life Times And Music Of An Irish Harper
1060,"",A Tropical Plant Book In Italian With English Gloss
1061,Homer,The Iliad In Greek English
1062,John Le Carre,Smiley's People
1063,Charles Dickens,Mystery Of Edwin Drood
1064,Thomas Wolfe,Look Homeward Angel
1065,"",Wisden Almanack For Cricketers
1066,"",Books Identifying Birds And Fish
1067,Saint Augustine,City Of God
1068,Hermann Hesse,Reflections
1069,Sir David Napley,Great Murder Trials Of 20th Century
1070,Robert Graves,Anthology Of Verse
1071,Bernard Maclaverty,Short Stories
1072,Asimov,Guide To Science
1073,"",1946 Wisden Almanack For Cricketers
1074,Prigogine,Non-equilibrium Thermo Dynamics
1075,Raine Maria Rilke,Collected Poems
1076,Benny Green,Let's Face The Music
1077,Ronald Blythe,Akenfield
1078,Alison Plowman,Caroline And Charlotte
1079,"",Encyclopaedia Of Species Of Fish Of The World
1080,Victor Gollancz,A Year Of Grace
1081,Sid Chaplin,Smell Of Sunday Dinner
1082,Peter Matthiessen,At Play In The Fields Of The Lord
1083,Wilkie Collins,The Moonstone
1084,Sir Arthur Conan Doyle,Collection Of Sherlock Holmes
1085,Caryl Brahms,No Bed For Bacon
1086,"",Teach Yourself Japanese Phrase Book
1087,Guy De Maupassant,Short Stories
1088,"",Who Was Who
1089,Jacob Burckhardt,History Of The Renaissance
1090,Capability Brown,A Title
1091,"",Old Testament In Hebrew Greek
1092,Karl Marx,Das Kapital
1093,"",Volume Of The Works Of The Impressionist Painters
1094,Richard Aldington,A Dream In The Luxembourg
1095,Alistair Fraser,Fraser's Horse Book
1096,James Thurber,A Volume
1097,Lord Byron,Don Juan
1098,Billy Connolly,Collected Scripts
1099,"",Two Photographs (one Of Wife; One Of 1928 Blackburn Rovers Team)
1100,Virgil,The Collected Works
1101,John Foxe,Book Of Martyrs
1102,"",The Guinness Book Of Records
1103,"",His Own Anthology Of Poems
1104,Benny Green,A Compilation
1105,"",The Oxford Book Of Twentieth-century Verse (selected By Philip Larkin)
1106,"",Opera Di M. Bartolomeo Scappi (recipe Book Of Pope's Chef In 1525)
1107,"",The Biggest Value Of Pure Maths
1108,P G Wodehouse,Uncle Fred In Springtime
1109,R H Tawney,Essays On Equality
1110,P J O'rourke,Republican Party Reptile
1111,Homer,The Works
1112,W A Poucher,The Lakeland Peaks (photographs)
1113,Peter Wright,Spycatcher
1114,William Hazlitt,Collected Essays
1115,Dr Samuel Johnson,The Dictionary
1116,"",The Dictionary Of Trees And Shrubs
1117,Walter Scott,The Antiquary
1118,"",Blank Sketchbook Or Journal
1119,"",Compiled Anthology Of English Poetry
1120,J B Priestley,The Complete Works
1121,Curnonsky,Cuisine Et Vins De France
1122,"",The Michelin Guide To France
1123,Robert Bontine Cunninghame Graham,A Vanished Arcadia
1124,Ferdinand Ossendowski,"Beasts, Men And Gods"
1125,Ferdinand Ossendowski,"Men, Beasts And Gods"
1126,"",A Book On Plato
1127,Jim Swanton,Barclays World Of Cricket
1128,Hugh Johnson,Pocket Wine Book 1987
1129,Elizabeth David,An Omelette And A Glass Of Wine
1130,Sir Winston Churchill,A History Of The English-speaking Peoples
1131,"",A Cricketing Almanac
1132,William Wordsworth,The Prelude
1133,Fyodor Dostoyevsky,Crime Punishment
1134,Leonardo Da Vinci,The Complete Works
1135,H G Wells,A Quartet Of Comedies
1136,Thomas Wolfe,"Look Homeward, Angel"
1137,Robert Graves,Collected Poetry
1138,"",Book On Flora Fauna On The Island
1139,"",Handbook Of Physics
1140,"",Boy Scout Manual
1141,H G Wells,Anthology Including The History Of Mr Polly
1142,H E Bates,The Modern Short Story
1143,Louis-ferdinand Celine,Death On The Installment Plan
1144,"",The Good Food Guide
1145,Arthur Pink,Commentary On The Bible
1146,E.m Forster,Works
1147,Ruth Prawer Jhabvala,Works
1148,Anne Rice,Interview With A Vampire
1149,"",Webster's International Dictionary
1150,"",The Exchange Mart
1151,"",Cricket Annuals: 1920 Onwards
1152,J P Donleavy,"The Destinies Of Darcy Dancer, Gentleman"
1153,"",Joke Book
1154,A C Bradley,Shakespearean Tragedy
1155,"",Wisden Almanack
1156,Sir Arthur Conan Doyle,A Number Of Sherlock Holmes Novels
1157,"",Mail Order Catalogue
1158,"",Partridge's Dictionary Of Slang
1159,"",Manual On How To Swim
1160,Joseph Campbell,The Hero With The Thousand Faces
1161,Frederick Bodmer,The Loom Of Language
1162,Dante Alighieri,Inferno In Two Languages
1163,"",Blank Pages
1164,Endre Ady,Collected Poems
1165,"",The Oxford Companion To English Literature
1166,Benny Green,The Wisden Anthology Of Cricket
1167,R G Collingwood,The Principles Of Art
1168,P G Wodehouse,Collection Of Jeeves Wooster Stories
1169,"",Set Of Wisden Almanack
1170,"",A Book Of Quotations
1171,Connie Clausen,"I Love You, Honey, But The Season's Over"
1172,"",11th Edition Of Encyclopaedia Britannica
1173,G.k. Chesterton,Anthology
1174,James Herriot,Omnibus Of Books
1175,James Boswell,A Journal Of A Tour To The Hebrides
1176,Moliere,Complete Plays
1177,"",Book On Pure Mathematics
1178,Paul Brunton,The Inner Reality
1179,Auguste Rodin,The Cathedrals Of France
1180,Esther Meynell,La Petite Chronique D'anna Magdalena Bach
1181,"",Complete Webster's English Dictionary
1182,Louis Saulnier,Le Repertoire De La Cuisine
1183,"",One Year Of Issues Of The Times
1184,Gerard Manley Hopkins,Poetry
1185,Duke Ellington,Music Is My Mistress
1186,G M Trevelyan,English Social History
1187,"",Diary
1188,"",Compendium Of Wines
1189,Dave Brubeck,Musical Arrangements
1190,William Blake,The Complete Works
1191,"",Phone Book
1192,Sir Arthur Conan Doyle,The Penguin Complete Sherlock Holmes
1193,"",The New Grove Dictionary Of Music Musicians
1194,John Keats,Letters
1195,Mortimer J Adler,Great Treasury Of Western Thought
1196,"",Book Of Quotations
1197,George Bernard Shaw,Political Works And Music Criticism
1198,Italo Calvino,If On A Winter's Night A Traveller
1199,Evelyn Waugh,Brideshead Revisited (in Greek)
1200,"",Scrapbook Of Poetry
1201,"",A Year's Supply Of The Exchange Mart
1202,Flann O'brien,The Complete Works
1203,E F Benson,Lucia Novels
1204,"",Collection Of 16th And 17th Century English Poetry
1205,Geoffrey Chaucer,The Complete Works
1206,E.m Forster,A Book
1207,Louis Bruggeman,Tropical Plants And Their Cultivation
1208,John Julius Norwich,Britain's Heritage
1209,Laurie Lee,I Can't Stay Long
1210,Beethoven,Letters
1211,"",Colour Reproduction Of Renaissance Artists
1212,"",The Admiralty Seamanship Manual
1213,A E Ellis,The Rack
1214,Giorgio Vasari,Lives Of The Artists
1215,Jan Morris,Pax Britannica
1216,Tom Sharpe,The Throwback
1217,"",The Methodist Hymn Book
1218,Edmond Goncourt,Journal
1219,Julia Childs,Cookery Book
1220,"",Comprehensive World Airways Timetable
1221,Sir Banister Fletcher,A History Of Architecture On The Comparative Method
1222,William Shakespeare,The Collected Works
1223,"",Pears Cyclopaedia
1224,Sir Anton Dolin,Friends And Memories
1225,"",Field Guide To The Birds Of The Island
1226,Beethoven,Piano Sonatas
1227,Homer,The Odyssey (translation W H D Rouse) By
1228,"",Anthology Of Humour
1229,Jeremy Taylor,Holy Living And Holy Dying
1230,"",Personally Compiled Anthology
1231,Linda Mccartney,Linda's Pictures
1232,Martin Gilbert,The Document Volumes Of The Churchill Biography
1233,"",Crossword Puzzles And Pencils
1234,"",Piano Manual
1235,Lord Tennyson,Complete Works
1236,"",Book With Blank Cork Pages
1237,"",Gardening Manual
1238,"","Books About Gardening, Painting And Boat Handling"
1239,Vladimir Nabokov,Ada
1240,James Joyce,Finnegans Wake
1241,Dr Samuel Johnson,Writings
1242,Wilbur Smith,Eagle In The Sky
1243,Emily Dickinson,The Complete Works
1244,Martin Ross,Experiences Of An Irish Rm
1245,"",History Of Orient Football Club
1246,James Clavell,Nobel House
1247,"",Boy Scout Hand Book
1248,John Donne,Meditations Upon Our Human Condition
1249,Arianna Stassinopoulos,Maria
1250,T C Mcluhan,Touch The Earth
1251,Bernard Darwin,The World That Fred Made
1252,Louis Untermeyer,Collin's Albatross Book Of Verse
1253,Pauline Reage,The Story Of O
1254,Ernest Hemingway,Collected Works
1255,Robert Louis Stevenson,As Many Works As Possible
1256,"",Times Concise Atlas
1257,E T Whittaker,A History Of Craven
1258,James Agate,Ego
1259,Sir Winston Churchill,Collected Speeches
1260,Fred Uhlman,Reunion
1261,James Clavell,Shogun
1262,"",Golf Instruction Book
1263,David Attenborough,Life On Earth
1264,Rabindranath Tagore,Poems
1265,A S Neill,Summerhill
1266,John Scarne,Card Games
1267,Yokoi,The Golden Man
1268,"",Personally-compiled Anthology
1269,"",Modern Wooden Yacht Construction
1270,Alban Butler,Lives Of The Saints
1271,Carl Sandburg,Abraham Lincoln
1272,John Wyndham,Novels
1273,"",Teach Yourself Mathematics
1274,"",1001 Gems Of English Poetry
1275,Alan Watts,The Wisdom Of Insecurity
1276,Stanley Dance,The World Of Duke Ellington
1277,Roger Martin Du Gard,Les Thibault
1278,P G Wodehouse,Three Early Novels
1279,"",Elizabethan Lyrics From Songbooks And Dramatists
1280,Thomas Mallory,Le Morte D'arthur
1281,Otto Preminger,Autobiography
1282,"",Scrapbook
1283,"",Baha'i Prayer Book
1284,Jorge Luis Borges,Labyrinths
1285,Helen Gardner,The New Oxford Book Of English Verse
1286,Cyril Connolly,The Unquiet Grave
1287,"",His Diaries To Date
1288,P G Wodehouse,The World Of Jeeves
1289,Yuarroros,The Poetry
1290,Henry James,Novels
1291,Colette,Earthly Paradise
1292,Leslie Greenwood,Flowers Of The World
1293,Ed Mcbain,Streets Of Gold
1294,"",His Visitors' Book
1295,"",Blank Book And A Pencil
1296,George Meredith,The Egoist
1297,Evelyn Waugh,Selection Of Novels
1298,John Bunyan,Pilgrim's Progress
1299,Alistair Maclean,Where Eagles Dare
1300,James Boswell,The Life Of Samuel Johnson
1301,"",The National Dictionary Of Biography
1302,Raymond Chandler,The Collected Works
1303,Idris Shah,Collected Stories
1304,Henry W Fowler,Modern English Usage
1305,"",Volume On Boat Building For Beginners
1306,Sir Arthur Conan Doyle,Complete Penguin Sherlock Holmes
1307,"",Blank Book And Pens
1308,Anna Sewell,Black Beauty
1309,Charles Montagu Doughty,Travels In The Arabian Desert
1310,"",Set Of The Shell County Guides
1311,Hart Crane,Poetry
1312,Emmanuel Kant,Book On Philosophy
1313,Harold Macmillan,Memoirs
1314,Stendhal,The Charterhouse Of Parma
1315,Lord Byron,The Complete Works
1316,Nevil Shute,Trustee From The Toolroom
1317,"",Book On Claude Monet
1318,George Bernard Shaw,Music Criticisms 1888-89
1319,Voltaire,Correspondence
1320,"",Instrument-making
1321,Dante Alighieri,Divine Comedy (in Italian With Dictionary)
1322,Alvin Toffler,Future Shock
1323,"",Shorthand Instruction Book With Paper And Pens
1324,Guiseppe Verdi,Letters
1325,William Gurney Benham,Book Of Quotations
1326,"",Blank Paper And Pencils
1327,"",Book On Elementary Calculus
1328,"",Atlas Of The Stars
1329,"",Study Book Of Six Languages
1330,Pierre Louys,Les Chansons De Bilitis
1331,Rudyard Kipling,Collected Poetry
1332,Carl Giles,Giles Cartoons
1333,W W Jacobs,Stories
1334,"",Comprehensive Book On Birds
1335,"",British Army Survival Manual
1336,"",The Boys' Own Annual For 1926
1337,"",Large Blank Book With Pencils
1338,"",Volume On Tropical Flora And Fauna
1339,Werner H Erhard,Transcript Of The Erhard Seminar Training Course
1340,Charles Groves,Grove's Dictionary Of Music And Musicians
1341,"",Complete Book Of World Cookery
1342,"",A Book About The Night Sky
1343,Dylan Thomas,Under Milk Wood
1344,"",Compendium Of World Philosophy
1345,Richard Jefferies,Bevis: The Story Of A Boy
1346,Edward Lear,The Complete Works
1347,Rudyard Kipling,The Complete Works
1348,Baha' I Allah,The Baha'i Revelation
1349,Mikhail Lermontov,A Hero Of Our Time
1350,J L Carr,The Harploe Report
1351,Francois-rene Vicomte De Chateaubriand,Memoirs D'outre-tombe
1352,"",English-spanish Dictionary
1353,"",The Form Book
1354,Voltaire,Candide
1355,"",Poetry From Around The World
1356,Saunders Lewis,The Complete Works
1357,"",Film Directory
1358,"",Gardeners' Yearbook
1359,George Macdonald Fraser,Diary Of An Old Soul
1360,"",The Art Of Modern French Cooking
1361,August Strindberg,The Lyric Dramas Of Strindberg
1362,Gilbert White,Natural History Of Selbourne
1363,Erskine Childers,The Riddle Of The Sands
1364,Hermann Bessmann,The Best Of
1365,"",Anthology Of English Poetry From 1400
1366,James Jones,From Here To Eternity
