1,"Ahdaf Soueif",http://en.wikipedia.org/wiki/Ahdaf_Soueif,female,WritingNovelist
2,"Doreen Lawrence",http://en.wikipedia.org/wiki/Doreen_Lawrence,female,"Politics and Public ServiceCampaigner"
3,"Margaret Rhodes",http://en.wikipedia.org/wiki/Margaret_Rhodes,female,"Royal or Aristocracy or PeerPolitics and Public ServiceForeign Affairs"
4,"Denise Robertson",http://en.wikipedia.org/wiki/Denise_Robertson,female,WritingJournalism
5,"Baroness Hollins","http://en.wikipedia.org/wiki/Sheila_Hollins,_Baroness_Hollins",female,"Medicine, Science and EngineeringMedicine"
6,"Anna Ford",http://en.wikipedia.org/wiki/Anna_Ford,female,"Stage, Screen and RadioNewsreader"
7,"Patsy Rodenburg",http://en.wikipedia.org/wiki/Patsy_Rodenburg,female,"Stage, Screen and RadioTheatre"
8,"Denise Lewis",http://en.wikipedia.org/wiki/Denise_Lewis,female,SportAthletics
9,"Dame Monica Mason",http://en.wikipedia.org/wiki/Monica_Mason,female,"Stage, Screen and RadioDance"
10,"Eve Pollard",http://en.wikipedia.org/wiki/Eve_Pollard,female,WritingJournalism
11,"Anna Scher",http://en.wikipedia.org/wiki/Anna_Scher_Theatre,female,"Stage, Screen and RadioTheatre"
12,"Francesca Simon",http://en.wikipedia.org/wiki/Francesca_Simon,female,"WritingChildren's Books"
13,"Anne Wood",http://en.wikipedia.org/wiki/Anne_Wood,female,"Stage, Screen and RadioProducer"
14,"Heather Rabbatts",http://en.wikipedia.org/wiki/Heather_Rabbatts,female,Business
15,"Dame Harriet Walter",http://en.wikipedia.org/wiki/Harriet_Walter,female,"Stage, Screen and RadioActor"
16,"Andrea Levy",http://en.wikipedia.org/wiki/Andrea_Levy,female,WritingNovelist
17,"Debbie Harry",http://en.wikipedia.org/wiki/Debbie_Harry,female,"MusicPop and Rock"
18,"Molly Parkin",http://en.wikipedia.org/wiki/Molly_Parkin,female,"WritingArt, Fashion and DesignJournalismArt"
19,"Cath Kidston",http://en.wikipedia.org/wiki/Cath_Kidston,female,"Art, Fashion and DesignDesign"
20,"Felicity Green",NA,female,WritingJournalism
21,"Dame Anne Owers",http://en.wikipedia.org/wiki/Anne_Owers,female,"Politics and Public Service"
22,"Celia Imrie",http://en.wikipedia.org/wiki/Celia_Imrie,female,"Stage, Screen and RadioActorComedy Performer"
23,"Betty Driver",http://en.wikipedia.org/wiki/Betty_Driver,female,"Stage, Screen and RadioActor"
24,"Sandie Shaw",http://en.wikipedia.org/wiki/Sandie_Shaw,female,"MusicPop and Rock"
25,"Frances Wood",http://en.wikipedia.org/wiki/Frances_Wood,female,"Academia and EducationWritingHistory"
26,"Anna del Conte",http://en.wikipedia.org/wiki/Anna_Del_Conte,female,"WritingFood and Drink"
27,"Sarah Doukas",NA,female,"BusinessArt, Fashion and DesignFashion"
28,"Kathy Burke",http://en.wikipedia.org/wiki/Kathy_Burke,female,"Stage, Screen and RadioActorDirectorComedy Performer"
29,"Lynn Barber",http://en.wikipedia.org/wiki/Lynn_Barber,female,WritingJournalism
30,"Dr Gwen Adshead",NA,female,"Medicine, Science and EngineeringMedicine"
31,"Dame Fanny Waterman",http://en.wikipedia.org/wiki/Dame_Fanny_Waterman,female,"MusicBusinessClassical MusicEntrepreneurPianist"
32,"Dame Stephanie Shirley",http://en.wikipedia.org/wiki/Dame_Stephanie_Shirley,female,"BusinessPolitics and Public ServiceEntrepreneur"
33,"Fay Weldon",http://en.wikipedia.org/wiki/Fay_Weldon,female,Writing
