Jamie Cullum
Sir Christopher Meyer
Jeremy Clarkson
Christopher Frayling
Rt Hon Charles Kennedy MP
Bill Cullen
Herbert Kretzmer
Nigella Lawson
Nick Hornby
Bryn Terfel
Barbara Taylor Bradford
Daniel Libeskind
Bishop John Sentamu
Mark Tully
Vittorio Radice
Meera Syal
Derek Brown
Franco Zeffirelli
George Fenton
Professor A H Halsey
Rory Bremner
Margaret Atwood
David Gilmour
Kristin Scott Thomas
Claude-Michel Schonberg
Nick Danziger
Vic Reeves
Gene Pitney
George Clooney
Cornelia Parker
Sir Ian McKellen
Paul Whitehouse
Sir Trevor Nunn
Professor Baruch Blumberg
Gillian Anderson
George Foreman
Patricia Cornwell
Rowan Williams
Sinead Cusack
Linton Kwesi Johnson
John Malkovich
Rt Hon Iain Duncan Smith MP
Christopher Ondaatje
Marguerite Wolff
Rt Hon Robin Cook MP
P D James
Carl Djerassi
Paul Gambaccini
Philip Pullman
Dame Alicia Markova
Timothy Spall
Brian May
Alan Titchmarsh
Minette Walters
Countess Elizabeth Longford
Jan Morris
Leonard Rosoman
Sue Johnston
Suggs
Sir Aaron Klug
Jude Kelly
Betty Jackson
Wayne Marshall
Sir Christopher Bland
Fiona Reynolds
Gordon Ramsay
Dorothy Rowe
Fay Godwin
Dame Beryl Grey
Lord May
Sue MacGregor
Kazuo Ishiguro
Sir Paul Nurse
David Linley
Phyllis Sellick
Bob Worcester
Susana Walton
Sir Peter Morris
Ewan McGregor
Jamie Oliver
Anne Fine
Cameron Mackintosh
Rt Hon William Hague MP
Ken Follett
Billy Connolly
Simon Schama
Lord Roll
Bruce Fogle
Joss Ackland
Lord Deedes
Claudia Roden
Cormac Murphy O'Connor
Martin Bell
Peggy Seeger
Sir Stanley Kalms
Sir Harry Kroto
Frank McCourt
Sir Kyffin Williams
Sir Thomas Allen
Courtney Pine
Sir Timothy Clifford
Sir John Sulston
Margaret Drabble
Tasmin Little
Chris Tarrant
Ronald Blythe
Tanni Grey Thompson
Sir Alec Broers
Shirley Hughes
Professor Peter Vanezis
Henry Sandon
John Lill
Charlie Watts
Professor Sir Richard Doll
Griff Rhys Jones
Sir John Mortimer
Terry O'Neill
Marguerite Patten
George MacDonald Fraser
Marquess Of Bath
Stephen Sondheim
Norman Painting
Professor Jocelyn Bell Burnell
Richard Briers
Tim Smit
Tina Brown
Albie Sachs
Des Lynam
J K Rowling
Ronald Harwood
Christopher Lloyd
Robert Swan
Sir Norman Wisdom
General Sir Charles Guthrie
Sir Roger Penrose
Rt Hon Michael Portillo MP
Alan Parker
Peter Nichols
Dr Max Perutz
Donald Sutherland
Clive James
Professor Geza Vermes
John Bird
Dame Norma Major
Kathleen Turner
Sir John Mills
Sir Peter Bonfield
Leonard Slatkin
Sir Anthony Caro
Claire Tomalin
Harold Evans
Adrian Noble
Al Alvarez
Colin Montgomerie
Robert McCrum
Sheila Hancock
Michael Holroyd
Professor Stuart Hall
Simon Callow
Peter Melchett
Neil Jordan
Ian McEwan
Dr Jane Goodall
Sir Andrew Lloyd Webber
Michael Crawford
Michael Nyman
Oz Clarke
Sir Richard Sykes
Warren Mitchell
