Jamie Cullum
Gavin Lyall
Noel Streatfeild
Sherrill Milnes
Julia Foster
Bing Crosby
Margaret Price
Frederick Forsyth
Ron Moody
Graham Thomas
Vince Hill
William Frankel
Stanley Holloway
Doris Hare
Paul Jennings
Lord Carrington
Bevis Hillier
Esther Rantzen
Alec Waugh
Jimmy Jewel
Robert Robinson
Jean Simmons
C P Snow
James Herriot
Dave Allen
Helen Bradley
David Hemmings
Sir Maurice Yonge
Sammy Cahn
Norman St John-Stevas
Tom Hustler
Gordon Jackson
John Arlott
Ben Travers
Matt Munro
John Hillaby
Patricia Hayes
John Betjeman
Lionel Blair
Stanley Dangerfield
Eric Thompson
Duncan Grant
Jilly Cooper
John Conteh
Valerie Masterson
Emlyn Williams
Lord Longford
Celia Johnson
Bernard Hailstone
Alan Civil
Percy Press
Angela Baddeley
Betty Kenward
P J Kavanagh
Oliver Reed
Bruce Tulloh
Robin Ray
Elisabeth Frink
Alan Ayckbourn
Dr Magnus Pyke
Polly James
William Hardcastle
Cyril Ray
David Munrow
Frank Swinnerton
Denholm Elliott
Graham Hill
Phyllis Barclay-Smith
Dandy Nichols
Dodie Smith
Michael Levey
Roland Culver
Valerie Singleton
Sir Keith Falkner
Sheridan Morley
Richard Walker
Osian Ellis
Max Wall
Mark Lubbock
Leslie Mitchell
T C Fairbairn
Antoinette Sibley
Arthur Marshall
Dr Thor Heyerdahl
John &amp; Roy Boulting
Philip Hope-Wallace
Edward Woodward
Brian Johnston
Eileen Fowler
Maureen O'Sullivan
Eddie Waring
Roy Fox
Brian Inglis
Fay Compton
John Brooke-Little
Bernard Haitink
Sir Terence Rattigan
Dr Jacob Bronowski
Marion Stein
Alexander Young
Gareth Edwards
Marghanita Laski
Vic Feather
Trevor Philpott
Arnold Ridley
Professor Sir Alister Hardy FRS
Peter Rogers
Edward Robey
Mary Peters
Ian Hendry
Leontyne Price
Bill Sowerbutts
Joyce Carey
Earl Wild
Bert Foord
Gervase de Peyer
Colin Welland
Ruskin Spear RA
Colonel Sir Michael Ansell
Wilfrid Van Wyck
Brenda Bruce
Georgie Fame
Basil Dean
Joe Bugner
Baroness Summerskill
Joseph Cooper
John Huston
Norman Thelwell
Edith Coates
Harry Loman
Florence De Jong
Christopher Serpell
Cathleen Nesbitt
George Melly
Dame Veronica Wedgwood OM
Alexander Gibson
Leslie Thomas
John Le Mesurier
Rita Hunter
Anthony Smith
Robert Nesbitt
Denise Robins
Mike Yarwood
Tony Britton
Noel Rawsthorne
Elsie &amp; Doris Waters
Tom Harrisson
Johnny Speight
Group Captain Peter Townsend
Beverly Sills
Maggie Smith
Dennis Wheatley
Imogen Holst
Christopher Gable
Michael Aspel
Terence Cuneo
John Reed
Margaret Lockwood
Anthony Lawrence
David Franklin
Professor Barry Cunliffe
Stephane Grappelli
Edward Ardizzone
Sir Arthur Bliss
Marcel Marceau
Joe Henderson
Henry Cecil
Charles Groves
Jean Plaidy
Professor Francis Camps
Alec Robertson
Geoffrey Parsons
David Bryant
Leonide Massine
Wendy Hiller
Sir Geoffrey Jackson
John Noakes
Robertson Hare
Elizabeth Harwood
David Storey
Raymond Leppard
Hammond Innes
Michael Parkinson
Alice Delysia
David Hockney
Stuart Burrows
Christopher Plummer
Isaac Stern
Gwen Berryman
Julia Trevelyan Oman
Barbara Mullen
Graham Kerr
Steve Race
Alfred Brendel
Nicolette Milnes-Walker
Lieutenant-Colonel Sir Vivian Dunn
C A Joyce
Dame Sibyl Hathaway
Ivy Benson
Sir Sacheverell Sitwell
Caterina Valente
Mollie Lee
Kenneth Allsop
Glenda Jackson
Artur Rubinstein
Sylva Stuart Watson
Richard Gordon
James Laver
Laurence Whistler
Maurice Woodruff
Clive Dunn
Elizabeth Ryan
Vernon Bartlett
Joyce Grenfell
John Braine
Reginald Foort
Billie Whitelaw
Mrs Mills
Geoff Boycott
Peter Daubeny
Clodagh Rodgers
Sir Louis Gluckstein
Patrick Cargill
Ludovic Kennedy
Ravi Shankar
Wendy Craig
Harvey Smith
Alan Keith
Laurie Lee
Madame (Lilian) Stiles-Allen
Robert Bolt
James Fitton
Quentin Poole
Ivan Mauger
Arthur Lowe
Wally Herbert
Diana Rigg
David Hughes
Margaret Powell
Vilem Tausky
Joan Whittington
Sari Barabas
Lynn Redgrave
Carrie Tubb
Harry Carpenter
Sir Alan P Herbert
Helen Watts
Ellen Pollock
Dick Emery
Freya Stark
Erich Leinsdorf
David Davis
Terry Thomas
Joan Hammond
Barbara Cartland
Ida Haendel
Monica Dickens
Keith Michell
Andy Stewart
Graham Usher
Carol Channing
Gina Cigna
Sir Gavin De Beer
James Lockhart
Deryck Guyler
Sheridan Russell
Nyree Dawn Porter
Judy Hashman
Richard Chamberlain
Dr Roy Strong
Isobel Baillie
Richard Church
Frank Gillard
Isidore Godfrey
Stanley Baxter
Professor A S C Ross
Val Doonican
Leonard Sachs
Fyfe Robertson
Tommy Steele
Viscount Montgomery of Alamein
Moira Anderson
Godfrey Baseley
Lillian Board
Irmgard Seefried
Dudley Moore
Evelyn Rothwell
Anthony Grey
Raymond Mays
Max Adrian
Henry Williamson
Thea Holme
Cliff Morgan
Sir John Wolfenden
Donald Zec
Des O'Connor
Olivia Manning
Hermione Gingold
Stanley Rubinstein
Cyril Harmer
Rachael Heyhoe
Vincent Price
Leonard Henry
Kenneth More
Evelyn Laye
John Trevelyan
Stanford Robinson
Ginger Rogers
Virginia Wade
Nicolai Gedda
Alvar Lidell
Dr Elsie Hall
Mary Stewart
Hetty King
Sir Alec Rose
Jill Bennett
Lady Diana Cooper
L Marsland Gander
Mary Wilson
Zena Skinner
Angus Wilson
Edward Downes
Hylda Baker
Lord David Cecil
Maggie Fitzgibbon
Maurice Jacobson
Alan Pegler
Heather Harper
Bob Braithwaite
Rosea Kemp
Professor Asa Briggs
Des Wilson
Sandy Powell
Lieutenant Colonel C H Jaeger
Sir Paul Gore-Booth
Dan Maskell
Richard Baker
Barbara Murray
Raymond Postgate
Billy Russell
Richard Lester
Marty Feldman
Dame Anne Godwin
Dame Ngaio Marsh
Edwige Feuillere
Carlo Maria Giulini
Sir Francis McLean
Louis Armstrong
Edward Chapman
Eric Shipton
Francis Durbridge
Sir Gilbert Inglefield
Eleanor Bron
Henry Hall
Colin Cowdrey
Sir Gordon Russell
Leslie Sarony
Sir Nicholas Sekers
Dame Maggie Teyte
Russell Braddon
Alfie Bass
Jon Vickers
T Dan Smith
Archie Camden
Rosalinde Fuller
C Day Lewis
Bill Boorne
Marilyn Horne
Susan Hampshire
John Williams
Ann Mallalieu
Colin Davis
Dame Gladys Cooper
Robert Merrill
Rt Hon. Sir Edward Boyle
Reverend Dr P B Clayton
Irene Worth
Sir Hugh Casson
Denis Matthews
Professor Sir Denis Brogan
Kenneth Wolstenholme
Roy Castle
Doris Arnold
Captain William Warwick
Alan Bennett
Jeremy Thorpe
Miriam Karlin
Heather Jenner
Tom Courtenay
Henryk Szeryng
Henry Longhurst
Roy Hudd
Lord Ritchie-Calder
Raymond Huntley
Xenia Field
Fenella Fielding
David Ward
George Woodcock
Derek Nimmo
Very Reverend Dr W R Matthews
Eric Porter
Sir Neville Cardus
Alan Whicker
Barry Briggs
Hugh Griffith
Arthur Negus
Clement Freud
Gerald Harper
Renee Houston
Gerald Moore
Richard Goolden
Sheila Scott
Rene Cutforth
Anne Sharpley
Georg Solti
Gwendoline Kirby
Jack Brabham
Leonard Cottrell
Captain John Ridgway &amp; Sargeant Chay Blyth
Anthony Burgess
Sarah Churchill
Stephen Bishop
Mitch Miller
Danny La Rue
Jacques Brunius
Talbot Duckmanton
Peter Wilson
June Ritchie
Derek Oldham
David Hicks
Morecambe &amp; Wise
""
Peter Diamand
Michael Craig
Nat Gonella
Jennifer Vyvyan
Sir Stanley Rous
Wilfred Andrews
Lilli Palmer
Nina &amp; Frederick
Charles Craig
Bill Simpson
Emily MacManus
Henry Cooper
Inia Te Wiata
Lord Soper
Bob &amp; Alf Pearson
Alan Bullock
Terry Scott
Hubert Gregg
Sara Leighton
G O Nickalls
Sir Frank Francis
Bill Fraser
Cyril Connolly
Marie Collier
Andrew Cruickshank
Christopher Hopper
Tommy Simpson
Charlton Heston
Patience Strong
Professor W E Swinton
Jimmy Shand
Michael Flanders
Sir William Coldstream
General Frederick Coutts
John Hanson
Lord Robens
Hildegarde
Constance Shacklock
Sir John Rothenstein
Nadia Nerina
Reverend David Sheppard
Rita Tushingham
Ian Hunter
Rae Jenkins
William Connor
William Hartnell
MacDonald Hastings
Harry Corbett
Ambrose
Annie Ross
Sir Lewis Casson
Mary Stocks
Maxwell Knight
Ginette Spanier
Harold Pinter
Hugh Lloyd
Maurice Denham
Joseph Szigeti
Robert Marx
Julian Herbage
Hayley Mills
Bill Shankly
Al Read
Dame Margot Fonteyn
Dr W E Shewell-Cooper
George Baker
Anatole Grunwald
Bert Weeden
Sir Richard Woolley
Dick Richards
Arthur Fiedler
Sir Paul Dukes
Gale Pedrick
Owen Brannigan
Sir Basil Spence
Frank Ifield
Dawn Addams
Marlene Dietrich
John Clements
Jack de Manio
Lavinia Young
Tallulah Bankhead
George Malcolm
Brian Epstein
Frank Phillips
Honor Blackman
Hardie Ratcliffe
Sir Harry Brittain
William Douglas-Home
Reverend W Awdry
Jon Pertwee
John Bratby
Robbie Brightwell
Russell Brockbank
Stratford Johns
Lord Thomson of Fleet
Percy Merriman
Stephen Grenfell
Dick Chipperfield
Roy MacGregor-Hastie
Vanessa Redgrave
Dorian Williams
Glen Byam Shaw
Kenneth Connor
Harry Wheatcroft
Richard Wattis
David Jacobs
Dame Edith Evans
David Kossoff
Jim Clark
Rex Alston
Ian Wallace
Sir Miles Thomas
Wilfred Brambell
Wilson Whineray
Regina Resnik
Richard Attenborough
Leslie Baily
Ethel Revnell
Dorita &amp; Pepe
Cyril Smith &amp; Phyllis Sellick
Nicolai Poliakoff
Harford Montgomery Hyde
Millicent Martin
T R Robinson
Ron Grainer
Gordon Pirie
Stephen Potter
Joan Bennett
Patrick Moore
Admiral Sir Michael Maynard Denny
Norman Shelley
Pat Moss
Bernard Cribbins
Group Captain Leonard Cheshire
Norman del Mar
Raymond Baxter
Sophie Tucker
Dr Reginald Jacques
Scobie Breasley
Sir Charles MacLean
Ian Fleming
Carleton Hobbs
Vivienne
Geraint Evans
Juliette Greco
Boyd Neel
Joe Loss
Eva Bartok
Barry Bucknell
Birgit Nilsson
Rowland Emett
Frank Worrell
Professor L Dudley Stamp
Vivienne Chatterton
Marjorie Proops
Ted Willis
Sir Harry Whitlohn
Leslie Gilbert Illingworth
Dudley Perkins
Arthur Haynes
Percy Thrower
Cyril Ornadel
Quentin Reynolds
Michael Bentine
Sir Learie Constantine
Noel Coward
Richard Lewis
Gerry Lee
Basil Boothroyd
Dorothy Squires
George Mitchell
Clarkson Rose
Lord George Sanger
A G Street
Acker Bilk
Anna Russell
Peter Saunders
Jack Warner
Dr Robert Stopford
Val Gielgud
George Shearing
Pamela Hansford-Johnson
Norman Tucker
Fanny &amp; Johnnie Cradock
Antony Hopkins
Peter Jones
L Hugh Newman
Stanley Unwin
R F Delderfield
Mario del Monaco
Edith Day
Lionel Tertis
Charlie Chester
Merfyn Turner
Paul Rogers
Franklin Engelmann
John Allegro
Giovanni Martinelli
Alistair Cooke
Eric Hosking
Sir Alan Cobham
Sidney Nolan
Leslie Crowther
Christina Foyle
Robert Morley
Billy Butlin
Leslie Phillips
Frank Launder &amp; Sidney Gilliat
Raymond Glendenning
Louis Kentner
Colonel A D Wintle
Irene Handl
H E Bates
Frank Chacksfield
Kay Cavendish
Ken Sykora
Stuart Hibberd
Hughie Green
James Gunn RA
Gracie Fields
Bob Hope
Sir Michael Balcon
Paul Gallico
Virgil Thomson
Rupert Davies
Wee Georgie Wood
Sir Gerald Beadle
Francis Chichester
Hattie Jacques
Canon Noel Duckworth
Tommy Reilly
Commander Sir Stephen King-Hall
Coral Browne
John Slater
Edward Ward
Jack Fingleton
Gerald Durrell
Yvonne Mitchell
Nelson Riddle
Joe Davis
Anna Massey
Roy Hay
Ann Haydon
Dr W Grey Walter
Richard Murdoch
Pietro Annigoni
Ralph Reader
Finlay Currie
Adam Faith
Brian Reece
Barbara Jefford
Peter Scott
Michael Wilding
Carmen Dragon
June Bronhill
Jimmy Edwards
Antonio
Mary Ure
Cyril Mills
Ted Williams
Beverley Sisters
Kenneth Horne
Victor Gollancz
Dave King
Harry Mortimer
Don Thompson
Oda Slobodskaya
Frank Muir &amp; Denis Norden
Edmund Hockridge
Ursula Bloom
Frederick Grisewood
Cliff Richard
Ernest Lough
Sidney Torch
Alec Bedser
Diane Cilento
Lionel Bart
Michaela &amp; Armand Denis
Gladys Young
Paul Beard
Godfrey Talbot
Pat Suzuki
Danny Blanchflower
Lord Boothby
Johnny Morris
Eddie Calvert
Claudio Arrau
Julian Slade
Professor A C B Lovell
Dickie Henderson
Marie Rambert
Liberace
Shirley Bassey
David Langdon
Anthony Newley
Anne Heywood
John Freeman
Sidney James
Michael Somes
Russ Conway
Prince Chula Chakrabongse of Thailand
Marty Wilde
Jack Jackson
Leon Goossens
Herbert Lom
Barrington Dalby
Antonia Ridge
Joan Heal
Semprini
S P B Mais
Ted Moult
Eve Boswell
Andor Foldes
John Paddy Carstairs
Billy Cotton
Joan Sutherland
Benny Hill
George Thalben-Ball
Alfred Hitchcock
Peggy Cochrane
Douglas Byng
Sir Leonard Hutton
John Snagge
Bessie Love
Norman Fisher
B C Hilliam
Ivor Newton
George Melachrino
Harold Abrahams
Hermione Baddeley
Uffa Fox
Lotte Lehmann
Henry Sherek
Brian Vesey-Fitzgerald
Robert Farnon
Alfred Marks
Dame Rebecca West
Ray Ellington
Lord Brabazon of Tara
Marjorie Westbury
Tyrone Guthrie
Edric Connor
Sylvia Sims
Malcolm Arnold
Ernest Thesiger
Judy Grinham
Cyril Fletcher
Peter Cushing
John Morris
Chris Barber
June Thorburn
Ronnie Boyer &amp; Jeanne Ravel
Sandy MacPherson
Charlie Drake
Aaron Copland
Stanley Black
Paul Robeson
G H Elliott
June Paul
Elena Gerhardt
Edmundo Ros
Benno Moiseiwitsch
Elizabeth Seal
Richard Dimbleby
Harry Belafonte
Hardy Amies
Dickie Valentine
Percy Kahn
Jack Payne
Hephzibah Menuhin
Dr Ludwig Koch
Eamonn Andrews
Elisabeth Schwarzkopf
Jean Pougnet
Wilfrid Hyde-White
Sarah Vaughan
Derek McCulloch
Jean Sablon
Naomi Jacob
Eric Robinson
Kay Smart
Agnes Nicholls
Roy Plomley
Oliver Messel
Ruby Miller
Billy Mayerl
Geraldo
Flora Robson
Frankie Vaughan
Michael Flanders &amp; Donald Swann
Margaret Rawlings
Ben Lyon
Rex Palmer
Anton Walbrook
Victor Silvester
Max Jaffa
Lionel Hale
Wendy Toye
Lupino Lane
Sir Thomas Beecham
Moira Shearer
James Fisher
Joan Cross
Jack Teagarden
Bransby Williams
Belinda Lee
Commander Ibbett
Marius Goring
Christopher Stone
C A Lejeune
Eric Barker
Alma Cogan
David Farrar
Leopold Stokowski
Owen Berry
Tony Hancock
Audrey Russell
Blanche Thebom
Fred Streeter
Tamara Karsavina
Harold Hobson
Mantovani
Percy Edwards
Count Basie
Victor Borge
Dick Bentley
Rawicz &amp; Landauer
Gwen Catley
Ralph Wightman
Cicely Courtneidge
Chris Brasher
Bud Flanagan
Alan Melville
Elizabeth Bowen
Edgar Lustgarten
Jack Solomons
Peggy Ashcroft
Peter Sellers
Zena Dare
Gerard Hoffnung
George Cansdale
Tyrone Power
Janette Scott
Peter Finch
John Watt
Dennis Noble
Donald Campbell
Isobel Barnett
Anthony Steel
Peter Katin
Ada Cherry Kearton
Kenneth Tynan
Turner Layton
Valentine Britten
Bernard Newman
Dennis Price
Dennis Brain
Shirley Abicair
Tex Ritter
Jim Laker
Leslie Caron
Eric Maschwitz
Eartha Kitt
Ted Heath
Stirling Moss
Robert Atkins
Dora Labbette
Len Harvey
John Neville
Marie Burke
Stan Kenton
Bebe Daniels
Cyril Smith
Vanessa Lee
Nancy Spain
Robert Fabian
David Nixon
Sam Costa
Laurence Harvey
Bob Monkhouse &amp; Denis Goodwin
Bernard Braden
Jack Train
Beverley Nichols
Vic Oliver
Valentine Dyall
Frances Day
Sidonie Goossens
James Robertson Justice
Max Bygraves
John Gregson
Leslie Welch
Philip Harben
Eileen Joyce
Herbert Wilcox
R C Sherriff
Michael Ayrton
Edward Allcard
Ursula Jeans
Lionel Gamlin
Michael Redgrave
Nicholas Monsarrat
Tony Mottram
Barbara Kelly
Tommy Farr
Anthony Asquith
Sir Malcolm Sargent
Tod Slaughter
Pat Kirkwood
Pat Smythe
Chris Chataway
Eric Ambler
Harriet Cohen
Sir Cedric Hardwicke
Dorothy Tutin
Bobby Howes
Dorothy Ward
Margaret Leighton
Reginald Dixon
Captain M B B Banks RM
Robert Henriques
Nigel Balchin
Valerie Hobson
T E B Clarke
Jessie Matthews
Vivian De Gurr St George
Peggy Cummins
Hugh Sinclair
"Leslie A ""Hutch"" Hutchinson"
Alfredo Campoli
Hugh Williams
Nora Swinburne
Cyril Ritchard
Cecil Parker
Geraldine McEwan
Lizbeth Webb
Leo Genn
Pamela Kellino
Arthur Wint
Naunton Wayne
Jack Hawkins
Isabel Jeans
Yolande Donlan
Webster Booth
Moira Lister
Max Miller
Pamela Brown
Richard Todd
Sheila Sim
David Tomlinson
Jean Carson
Donald Wolfit
Duncan Carse
Belita
Ralph Lynn
Margaret Rutherford
Wilfred Pickles
Joy Nichols
Bill Greenslade
Gordon Harker
Sonnie Hale
Ada Reeve
Nigel Patrick
Tessie O'Shea
W MacQueen-Pope
Florence Desmond
Joy Worth
Binnie Hale
Esmond Knight
Winifred Atwell
Ted Ray
Vivien Leigh
Anne Shelton
Trevor Howard
Michael Denison &amp; Dulcie Gray
Joan Greenwood
Fred Perry
Ellaline Terriss
Godfrey Winn
Googie Withers
Gilbert Harding
Dorothy Dickson
Robert Beatty
Kirsten Flagstad
Richard Murdoch &amp; Kenneth Horne
Delia Murphy
Wynford Vaughan-Thomas
Richard Hearne
Anna Neagle
Fred Emney
Roger Livesey
Compton MacKenzie
Peter Brough &amp; Archie Andrews
Jeanne De Casalis
Spike Hughes
Sybil Thorndike
Carroll Gibbons
Jack Hulbert
Elisabeth Schumann
Kathleen Harrison
George Formby
Diana Wynyard
Ronald Shiner
Clemence Dane
Henry Kendall
Mai Zetterling
George Robey
Sally Ann Howes
Freddie Mills
Anne Crawford
Vivian Ellis
Phyllis Calvert
A E Matthews
Jean Kent
Leslie Henson
Bill Johnson
Eric Coates
Tommy Trinder
Ann Todd
Denis Compton &amp; W J Edrich
Larry Adler
Peter Fleming
Muir Mathieson
Anona Winn
Ted Kavanagh
Kay Hammond
Jack Buchanan
Constance Cummings
Donald Peers
Yvonne Arnaud
Eric Portman
Sonia Dresdel
Nova Pilbeam
Signalman Henry Wheeler
Dr C E M Joad
Claire Luce
Margaret Hubble
Pat Butler
Roy Williams
Joan Edgar
Michael Harrison
Peter Fettes
Mabel Constanduros
Wing Commander Guy Gibson VC DSO DFC
Pamela Frankau
Alan Dent
Lord Charles Hill
J B Morton
C H Middleton
Sir Stephen Tallents
Lady Eleanor Smith
Ivor Brown
Herbert Hodge
Beverley Baxter
Tom Driberg
Ian Hay
Donald McCullough
Admiral Sir Edward Evans
Michael Powell
Jonah Barrington
Richard Tauber
Lord Elton
Nathaniel Gubbins
Leslie Howard
Beatrice Lillie
Ivor Novello
Tom Webster
Reverend Canon W H Elliott
Joan Jay
Captain A E Dingle
Jack Hylton
C B Cochran
Commander Campbell
James Agate
