159;|Thomas Tallis|;|Spem In Alium|;|Artist: The Sixteen|
160;|Bette Midler|;|Is That All There Is?|;|Composer: Leiber And Stoller|
161;|Jonathan Darlene Edwards|;|Tiptoe Through The Tulips|;|Composer: Burke/dubin|
162;|Jimmy Shand|;|Mrs Cholmondeley's Reel|;|Composer: Trad|
163;|Wynonna|;|I'm So Lonesome I Could Cry|;|Composer: Hank Williams, Sr.|
164;|Fritz Kreisler|;|Schon Rosmarin|;|Artist: Fritz Kreisler With The Victor Symphony Orchestra|
165;|Barbara Windsor|;|It's Nicer In Nice|;|Composer: Leslie Bricusse|
166;|Giacomo Puccini|;|Tosca Act 2 (finale)|;|Artist: Maria Callas Tito Gobbi With The Paris Conservatoire Orchestra Conducted By Georges Pretre.|
167;|The Royal Artillery Orchestra Conducted By Major Frank Renton, Ra.|;|March Of The Toys|;|Composer: Victor Herbert Arr. F .a Renton|
168;|Oscar Hammerstein Ii|;|I'll Take Romance|;|Artist: Betty Driver Composer: Hammerstein/oakland|
169;|Pyotr Ilyich Tchaikovsky|;|Piano Concerto No. 1 In B Flat Minor|;|Artist: Stephen Hough With The Minnesota Orchestra Conducted By Osmo Vanska|
170;|Ella Fitzgerald|;|Night And Day|;|Composer: Cole Porter|
171;|Johann Strauss Ii|;|Thunder And Lightning Polka|;|Artist: Sir Harry Mortimer (with The G.u.s. (footwear) Band|
172;|Winifred Atwell|;|Black And White Rag|;|Composer: Botsford|
173;|Pyotr Ilyich Tchaikovsky|;|The Overture To Swan Lake|;|Artist: Leonard Slatkin Conducting The St Louis Symphony Orchestra|
174;|Hoagy Carmichael|;|Skylark|;|Composer: Carmichael/ Mercer|
175;|Johannes Brahms|;|The Adagio From The Cello Sonata No.2 In F Major.|;|Artist: Steven Isserlis|
176;|Sandie Shaw|;|Coconut Grove|;|Composer: Sebasian, Yanovsky|
177;|The Shangri-las|;|Remember (walkin' In The Sand)|;|Composer: Moreton|
178;|Guy Mitchell|;|She Wears Red Feathers And A Huly Huly Skirt|;|Composer: Bob Merrill|
179;|Georgie Fame|;|Barefootin'|;|Composer: Robert Parker|
180;|The Beach Boys|;|Good Vibrations|;|Composer: Wilson/love|
181;|Sandie Shaw (with Herbie Flowers Roger Cook)|;|Bananas|;|Composer:|
182;|The Beatles|;|Here Comes The Sun|;|Composer: George Harrison|
183;|Nuns And Monks Of The Temple|;|Diamond Sutra|;|Composer: Trad. Buddhist Text Produced In China In Ad 868|
184;|Georges Brassens|;|Ballade Des Dames Du Temps De Jadis|;|Composer: G Brassens|
