128;"Elizabeth Knowles";"The Oxford Dictionary Of Quotations"
129;"Lawrence Kelly";"Diplomacy And Murder In Tehran - Alexander Griboyedov And Imperial Russia's Mission To The Shah Of Persia."
130;"Thomas Moore";"Utopia"
131;"Thomson";"The Mabinogi (in Modern Welsh)"
132;;"Her Own Book On Venice"
133;"Peter Ackroyd";"Dickens"
134;;"A Specially Commissioned Complete History Of Art Book, With Sections By John Berger, David Hockney And Jeanette Winterson Among Others"
135;"Melvyn Bragg";"Vision: 50 Years Of Creativity"
136;"W G Hoskins";"The Making Of The English Landscape"
137;"Professor Colin Blakemore";"The Oxford Companion To The Body"
138;"Christopher Lee";"This Sceptred Isle"
139;"J M Roberts";"History Of The World"
140;;"The Oxford Companion To Music"
141;"Russel Page";"The Education Of A Gardener"
142;"Philip Larkin";"Collected Poems"
143;"Marcel Proust";"A La Recherche Du Temps Perdu"
144;"Lewis Grassic Gibbon";"A Scots Quair"
145;"Arnold Bennett";"Old Wives Tale"
147;"J K Rowling";"Harry Potter Book"
148;;"A Guide To Edible Foods On A Desert Island"
149;"Simon Schama";"Embarrassment Of Riches"
150;"Fyodor Dostoyevsky";"The Brothers Karamazov"
151;;"Sas Survival Guide"
152;"Dorothy L Sayers";"Nine Tailors"
153;"Jane Austen";"Emma"
154;"Samuel Pepys";"Complete Diaries"
155;"Marcel Proust";"A Title"
156;;"The Girl Guides' Handbook"
157;"J R R Tolkien";"The Lord Of The Rings"
159;"Gabriel Garcia Marquez";"One Hundred Years Of Solitude"
160;"John Donne";"The Collected Works"
161;;"Anthology Of Poetry"
162;"Thomas Gray";"Collected Poems"
163;"Richard Mccain";"Poet For Poet"
164;"Isaiah Berlin";"The Proper Study Of Mankind"
165;"Seamus Heaney";"The Collected Works"
166;"John Donne";"Collected Poems"
167;"G M Trevelyan";"History Of England"
168;"Virginia Woolf";"Moments Of Being"
169;"Emily Dickinson";"Collection Of Poems"
170;"John Carey";"The Faber Book Of Reportage"
172;"Charles Darwin";"Origin Of Species"
173;;"Ordnance Survey Map Of The World"
174;;"The Book Of Kells"
175;"Walter De La Mare";"Come Hither"
177;;"The History And Creation Of A Japanese Sand Garden"
178;"F. Scott Fitzgerald";"Tender Is The Night"
179;"Stephen Hawking";"A Brief History Of Time"
180;"Anton Chekhov";"The Collected Works"
181;"John Dankworth";"The Jazz Revolution"
182;"Arthur Koestler";"The Sleep Walkers"
183;"William Louis Wheeler";"The Medical Care Of Merchant Seamen"
184;"Robert Baden-powell";"Scouting For Boys"
185;"Norman Vincent Peale";"The Power Of Positive Thinking"
186;;"A Photograph Album"
187;"Mozart";"Complete Score Of Fidelio"
188;"Beethoven";"Score Of The Opera Fidelio"
189;"Freya Stark";"Traveller's Prelude"
190;"Edith Sitwell";"The Atlantic Book Of British And American Poetry"
191;"Vita Sackville-west";"Another World Than This"
192;"Jay Landesman";"Rebel Without Applause"
193;"Jay Landesman";"Jay Walking"
194;"Noel Coward";"Diary"
195;"Oscar Wilde";"Complete Works"
196;"Randolph Stow";"Tourmaline"
197;"Bob Monkhouse";"Crying With Laughter"
198;"Leo Tolstoy";"A Title, In Russian And English,"
199;;"A Culinary Book"
200;"Nancy Mitford";"The Pursuit Of Love"
201;;"Arabian Nights (1000 And One Nights)"
202;"Ralph Waldo Trine";"In Tune With The Infinite: Fullness Of Peace Power"
203;"Hillier";"Hillier's Dictionary Of Plants"
204;"Peter Ustinov";"A Title"
205;"John Steinbeck";"Short Stories"
